number	section	weblate_key	new
1	01-ekran-glowny	general_alert_cancel	
2	01-ekran-glowny	general_alert_done	
3	01-ekran-glowny	general_loading_start	
4	01-ekran-glowny	general_error_location_services_find_location_error	
5	01-ekran-glowny	general_error_add_marker_error	
6	01-ekran-glowny	general_error_add_marker_duplicate	
7	01-ekran-glowny	error_message_route_not_found	
8	01-ekran-glowny	error_message_deleting_route	
9	01-ekran-glowny	error_message_saving_route	
10	01-ekran-glowny	service_still_running	
11	01-ekran-glowny	search_bar_hint	
12	01-ekran-glowny	search_no_results	
13	01-ekran-glowny	search_searching	
14	01-ekran-glowny	talkback_default_activate	
15	01-ekran-glowny	user_activity_save_marker_title	
16	01-ekran-glowny	search_choose_destination	
17	01-ekran-glowny	search_use_current_location	
18	01-ekran-glowny	search_nearby_screen_title	
19	01-ekran-glowny	search_view_markers	
20	01-ekran-glowny	search_button_markers_accessibility_hint	
21	01-ekran-glowny	search_button_nearby_accessibility_hint	
22	01-ekran-glowny	search_button_current_location_accessibility_hint	
23	01-ekran-glowny	stationary_on_way	
24	01-ekran-glowny	ui_action_button_my_location_acc_hint	
25	01-ekran-glowny	ui_action_button_nearby_markers_acc_hint	
26	01-ekran-glowny	ui_action_button_around_me_acc_hint	
27	01-ekran-glowny	ui_action_button_ahead_of_me_acc_hint	
28	01-ekran-glowny	menu_route	
29	01-ekran-glowny	menu_route_next_waypoint	
30	01-ekran-glowny	menu_route_previous_waypoint	
31	01-ekran-glowny	menu_no_routes	
32	01-ekran-glowny	menu_main_menu	
33	01-ekran-glowny	ui_menu	
34	01-ekran-glowny	ui_menu_hint	
35	01-ekran-glowny	ui_menu_close	
36	01-ekran-glowny	ui_continue	
37	01-ekran-glowny	ui_grant_permission	
38	01-ekran-glowny	menu_manage_callouts	
39	01-ekran-glowny	menu_manage_search	
40	01-ekran-glowny	menu_help_and_tutorials	
41	01-ekran-glowny	menu_help	
42	01-ekran-glowny	menu_rate	
43	01-ekran-glowny	menu_contact_support	
44	01-ekran-glowny	menu_advanced_markers_and_routes	
45	01-ekran-glowny	ui_back_button_title	
46	01-ekran-glowny	permissions_required	
47	01-ekran-glowny	permissions_button	
48	01-ekran-glowny	share_title	
49	01-ekran-glowny	no_language_selected	
50	01-ekran-glowny	battery_optimization_title	
51	01-ekran-glowny	notification_text	
52	01-ekran-glowny	cancel_search_contentDescription	
53	01-ekran-glowny	menu_manage_audio	
54	01-ekran-glowny	menu_manage_accessibility	
55	01-ekran-glowny	menu_media_controls	
56	01-ekran-glowny	menu_share_recorded_route	
57	01-ekran-glowny	accessibility_title	
58	01-ekran-glowny	accessibility_screen_reader_enabled	
59	01-ekran-glowny	text_field_clear_text	
60	01-ekran-glowny	fab_add_item	
61	01-ekran-glowny	fab_add_route	
62	01-ekran-glowny	home_screen_title	
63	01-ekran-glowny	menu_advanced_markers_and_routes_clear_all_success	
64	01-ekran-glowny	menu_open_source_licenses	
65	01-ekran-glowny	menu_audio_tutorial	
66	01-ekran-glowny	menu_audio_tutorial_cancel	
67	01-ekran-glowny	loading_indicator_content_description	
68	01-ekran-glowny	menu_exit_app	
69	01-ekran-glowny	menu_manage_locale	
70	01-ekran-glowny	talkback_double_tap_template	
71	01-ekran-glowny	ui_action_button_my_location	
72	01-ekran-glowny	ui_action_button_nearby_markers	
73	01-ekran-glowny	ui_action_button_around_me	
74	01-ekran-glowny	ui_action_button_ahead_of_me	
75	01-ekran-glowny	battery_optimization_message	
76	01-ekran-glowny	accessibility_screen_reader_disabled	
77	02-ustawienia	settings_screen_title	
78	02-ustawienia	settings_explanation	
79	02-ustawienia	settings_about_app	
80	02-ustawienia	settings_section_units	
81	02-ustawienia	settings_section_units_description	
82	02-ustawienia	settings_units_imperial	
83	02-ustawienia	settings_units_metric	
84	02-ustawienia	settings_section_search	
85	02-ustawienia	settings_section_search_network	
86	02-ustawienia	settings_section_search_network_description	
87	02-ustawienia	settings_search_online	
88	02-ustawienia	settings_search_offline	
89	02-ustawienia	settings_search_auto	
90	02-ustawienia	settings_relative_directions_text	
91	02-ustawienia	settings_relative_directions_description	
92	02-ustawienia	settings_relative_directions_clockface	
93	02-ustawienia	settings_relative_directions_degrees	
94	02-ustawienia	settings_relative_directions_left_right	
95	02-ustawienia	settings_collapse_section	
96	02-ustawienia	settings_expand_section	
97	02-ustawienia	settings_collapsed	
98	02-ustawienia	settings_expanded	
99	02-ustawienia	preview_title	
100	02-ustawienia	preview_go_title	
101	02-ustawienia	preview_go_hint	
102	02-ustawienia	preview_go_nearest_intersection	
103	02-ustawienia	preview_include_unnamed_roads_title	
104	02-ustawienia	preview_include_unnamed_roads_title_description	
105	02-ustawienia	filter_all	
106	02-ustawienia	all_places_nearby_description	
107	02-ustawienia	public_transit_places_nearby_description	
108	02-ustawienia	food_drink_places_nearby_description	
109	02-ustawienia	groceries_places_nearby_description	
110	02-ustawienia	banks_places_nearby_description	
111	02-ustawienia	places_nearby_selection_description	
112	02-ustawienia	filter_transit	
113	02-ustawienia	filter_food_drink	
114	02-ustawienia	filter_groceries	
115	02-ustawienia	filter_banks	
116	02-ustawienia	advanced_markers_and_routes_description	
117	02-ustawienia	behavior_experiences_route_nav_title	
118	02-ustawienia	behavior_scavenger_hunt_callout_next_flag	
119	02-ustawienia	behavior_scavenger_hunt_callout_next_flag_short_route	
120	02-ustawienia	settings_help_section_beacons_and_pois	
121	02-ustawienia	settings_help_section_home_screen_buttons	
122	02-ustawienia	settings_section_media_controls	
123	02-ustawienia	settings_section_media_controls_description	
124	02-ustawienia	settings_media_controls_original	
125	02-ustawienia	settings_media_controls_voice_command	
126	02-ustawienia	settings_media_controls_audio_menu	
127	02-ustawienia	settings_voice_command_listening_prompt	
128	02-ustawienia	settings_voice_command_listening_prompt_description	
129	02-ustawienia	settings_voice_command_microphone	
130	02-ustawienia	settings_voice_command_microphone_description	
131	02-ustawienia	settings_theme_light_dark	
132	02-ustawienia	settings_theme_auto	
133	02-ustawienia	settings_theme_is_light	
134	02-ustawienia	settings_theme_light	
135	02-ustawienia	settings_theme_dark	
136	02-ustawienia	settings_theme_contrast	
137	02-ustawienia	settings_theme_contrast_regular	
138	02-ustawienia	settings_theme_contrast_medium	
139	02-ustawienia	settings_theme_contrast_high	
140	02-ustawienia	settings_list_item_description	
141	02-ustawienia	settings_keep_value	
142	02-ustawienia	settings_use_value	
143	02-ustawienia	settings_travel_recording	
144	02-ustawienia	settings_mix_audio	
145	02-ustawienia	settings_mix_audio_description	
146	02-ustawienia	settings_head_tracking	
147	02-ustawienia	settings_show_map	
148	02-ustawienia	settings_debug_heading	
149	02-ustawienia	settings_search_results_language	
150	02-ustawienia	offline_maps_title	
151	02-ustawienia	offline_map_details_title	
152	02-ustawienia	offline_maps_loading	
153	02-ustawienia	offline_maps_downloading	
154	02-ustawienia	offline_maps_caching	
155	02-ustawienia	offline_maps_free_space	
156	02-ustawienia	offline_maps_storage	
157	02-ustawienia	offline_maps_already_downloaded	
158	02-ustawienia	offline_maps_extract_damaged	
159	02-ustawienia	offline_maps_nearby	
160	02-ustawienia	offline_maps_loading_manifest	
161	02-ustawienia	offline_maps_manifest_failed	
162	02-ustawienia	offline_map_details_delete	
163	02-ustawienia	offline_map_details_download	
164	02-ustawienia	offline_map_details_size_on_phone	
165	02-ustawienia	offline_map_details_size_on_server	
166	02-ustawienia	offline_map_details_name	
167	02-ustawienia	offline_map_details_city_list	
168	02-ustawienia	offline_map_details_alternate_city_list	
169	02-ustawienia	offline_map_storage_title	
170	02-ustawienia	offline_map_wifi_only	
171	02-ustawienia	offline_map_download_complete	
172	02-ustawienia	offline_map_download_cancelled	
173	02-ustawienia	offline_map_download_error	
174	02-ustawienia	settings_reset_button	
175	02-ustawienia	settings_reset_button_hint	
176	02-ustawienia	settings_reset_dialog_title	
177	02-ustawienia	settings_reset_dialog_message	
178	02-ustawienia	advanced_markers_and_routes_export_button	
179	02-ustawienia	advanced_markers_and_routes_import_button	
180	02-ustawienia	advanced_markers_and_routes_export	
181	02-ustawienia	advanced_markers_and_routes_clear_all_button	
182	02-ustawienia	advanced_markers_and_routes_clear_all_alert_message	
183	02-ustawienia	offline_map_details_update	
184	02-ustawienia	settings_head_tracking_description	
185	02-ustawienia	settings_search_results_language_description	
186	02-ustawienia	offline_map_storage_description	
187	03-znaczniki-i-trasy	beacon_settings_style	
188	03-znaczniki-i-trasy	beacon_settings_style_description	
189	03-znaczniki-i-trasy	beacon_styles_current	
190	03-znaczniki-i-trasy	beacon_styles_original	
191	03-znaczniki-i-trasy	beacon_styles_flare	
192	03-znaczniki-i-trasy	beacon_styles_shimmer	
193	03-znaczniki-i-trasy	beacon_styles_tactile	
194	03-znaczniki-i-trasy	beacon_styles_ping	
195	03-znaczniki-i-trasy	beacon_styles_drop	
196	03-znaczniki-i-trasy	beacon_styles_signal	
197	03-znaczniki-i-trasy	beacon_styles_signal_slow	
198	03-znaczniki-i-trasy	beacon_styles_signal_very_slow	
199	03-znaczniki-i-trasy	beacon_styles_mallet	
200	03-znaczniki-i-trasy	beacon_styles_mallet_slow	
201	03-znaczniki-i-trasy	beacon_styles_mallet_very_slow	
202	03-znaczniki-i-trasy	beacon_audio_beacon	
203	03-znaczniki-i-trasy	beacon_action_mute_beacon	
204	03-znaczniki-i-trasy	beacon_action_mute_beacon_acc_hint	
205	03-znaczniki-i-trasy	beacon_action_unmute_beacon	
206	03-znaczniki-i-trasy	beacon_action_unmute_beacon_acc_hint	
